OTU_id	F14RootFungi.2p.A2	F14RootFungi.2p.B1	F14RootFungi.2p.B5	F14RootFungi.2p.B6	F14RootFungi.2p.D4	F14RootFungi.H12	F14RootFungi.G8	F14RootFungi.G4	F14RootFungi.G2	F14RootFungi.G5	F15RootFungi.2p.A2	F15RootFungi.2p.B6	F15RootFungi.2p.C5	F15RootFungi.2p.C3	F15RootFungi.2p.D2	F15RootFungi.2p.C4	F15Group.Root131	F15Group.Root99	F15RootFungi.G3	F15RootFungi.G8
Otu00293	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
Otu00294	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0
Otu00295	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0
Otu00301	0	1	0	0	5	30	0	0	0	0	0	44	1	36	0	23	0	0	0	0
Otu00302	0	0	0	0	0	0	0	0	0	1	0	20	0	0	3	0	0	0	0	0
Otu00303	0	0	0	0	0	0	17	0	29	0	0	0	0	0	0	0	7	0	0	0
Otu00304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	89	0
Otu00305	0	1	31	0	0	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Otu00306	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
Otu00307	0	0	0	0	0	0	0	0	0	0	6	0	9	27	0	0	0	0	0	0
Otu00308	0	0	0	0	0	0	0	0	0	14	0	0	3	0	0	0	0	0	0	0
Otu00310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	5	0
Otu00314	0	0	0	2	1	0	0	0	0	0	0	0	10	7	8	0	0	0	0	0
Otu00315	0	0	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	0	0	0
Otu00316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	3
Otu00318	0	0	0	0	0	0	0	6	0	7	0	0	0	0	0	0	0	0	0	0
Otu00320	94	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	17	0
