,Tunnel Number,Rootstock,Compartment,Community,Study_site,Phenology,Year,Number,Sample_name
15RootFungi.2p.C3,Tunnel - 3,Maxifort,Endosphere,Fungi,OHREC,Peak_Harvest,2015,22,15RootFungi.2p.C3
15RootFungi.2p.D2,Tunnel - 6,Maxifort,Endosphere,Fungi,OHREC,Peak_Harvest,2015,23,15RootFungi.2p.D2
15RootFungi.2p.C4,Tunnel - 5,Maxifort,Endosphere,Fungi,OHREC,Peak_Harvest,2015,24,15RootFungi.2p.C4
15Group.Root111,Tunnel - 4,Selfgraft,Endosphere,Fungi,Common Harvest,Peak Harvest,2015,25,15Group.Root111
15Group.Root108,Tunnel - 1,Selfgraft,Endosphere,Fungi,Common Harvest,Peak Harvest,2015,26,15Group.Root108
15RootFungi.G10,Tunnel - 3,Selfgraft,Endosphere,Fungi,Common Harvest,Peak_Harvest,2015,27,15RootFungi.G10
15RootFungi.G5,Tunnel - 2,Selfgraft,Endosphere,Fungi,Common Harvest,Peak_Harvest,2015,28,15RootFungi.G5
15RootFungi.G12,Tunnel - 3,RST-04-106,Endosphere,Fungi,Common Harvest,Peak_Harvest,2015,29,15RootFungi.G12
15RootFungi.G2,Tunnel - 1,RST-04-106,Endosphere,Fungi,Common Harvest,Peak_Harvest,2015,30,15RootFungi.G2
15RootFungi.G7,Tunnel - 2,RST-04-106,Endosphere,Fungi,Common Harvest,Peak_Harvest,2015,31,15RootFungi.G7
15RootFungi.H5,Tunnel - 4,RST-04-106,Endosphere,Fungi,Common Harvest,Peak_Harvest,2015,32,15RootFungi.H5
15RootFungi.F11,Tunnel - 1,Nongraft,Endosphere,Fungi,Common Harvest,Peak_Harvest,2015,33,15RootFungi.F11
15RootFungi.G4,Tunnel - 2,Nongraft,Endosphere,Fungi,Common Harvest,Peak_Harvest,2015,34,15RootFungi.G4
15RootFungi.G9,Tunnel - 3,Nongraft,Endosphere,Fungi,Common Harvest,Peak_Harvest,2015,35,15RootFungi.G9
15RootFungi.H2,Tunnel - 4,Nongraft,Endosphere,Fungi,Common Harvest,Peak_Harvest,2015,36,15RootFungi.H2
15Group.Root131,Tunnel - 4,Maxifort,Endosphere,Fungi,Common Harvest,Peak Harvest,2015,37,15Group.Root131
15Group.Root99,Tunnel - 3,Maxifort,Endosphere,Fungi,Common Harvest,Peak Harvest,2015,38,15Group.Root99
15RootFungi.G3,Tunnel - 1,Maxifort,Endosphere,Fungi,Common Harvest,Peak_Harvest,2015,39,15RootFungi.G3
15RootFungi.G8,Tunnel - 2,Maxifort,Endosphere,Fungi,Common Harvest,Peak_Harvest,2015,40,15RootFungi.G8
